Header
rate=30
frames=120
duration=4.0
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD,
1.66667,50,-3.47886,-1.71302,-3.45405,-1.33647,80.8914,-3.66109,-36.4846,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
1.7,51,-3.47886,-1.71302,-3.45405,-1.33647,81.0672,0.0517923,-36.5012,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
1.73333,52,-3.47886,-1.71302,-3.45405,-1.33647,81.2231,3.78395,-39.3755,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
1.76667,53,-3.47886,-1.71302,-3.45405,-1.33647,81.3601,7.4772,-44.8373,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
1.8,54,-3.47886,-1.71302,-3.45405,-1.33647,81.4792,11.0734,-51.9148,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
1.83333,55,-3.47886,-1.71302,-3.45405,-1.33647,81.5813,14.5142,-59.6361,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
1.86667,56,-3.47886,-1.71302,-3.45405,-1.33647,81.6674,17.7416,-67.0295,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
1.9,57,-3.47886,-1.71302,-3.45405,-1.33647,81.7385,20.6974,-73.123,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
1.93333,58,-3.47886,-1.71302,-3.45405,-1.33647,81.7955,23.3233,-76.9449,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
1.96667,59,-3.47886,-1.71302,-3.45405,-1.33647,81.8395,25.5612,-77.3502,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
2.0,60,-3.47886,-1.71302,-3.45405,-1.33647,81.8714,27.3529,-71.9988,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
2.03333,61,-3.47886,-1.71302,-3.45405,-1.33647,81.8922,28.6401,-61.83,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,bite,
2.06667,62,-3.47886,-1.71302,-3.45405,-1.33647,81.9028,29.3649,-48.653,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
2.1,63,-3.47886,-1.71302,-3.45405,-1.33647,81.8426,29.4907,-34.2774,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
2.13333,64,-3.47886,-1.71302,-3.45405,-1.33647,80.9706,29.2614,-20.5124,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
2.16667,65,-3.47886,-1.71302,-3.45405,-1.33647,79.1748,28.7769,-9.16748,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
2.2,66,-3.47886,-1.71302,-3.45405,-1.33647,76.5904,28.0587,-2.05192,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
2.23333,67,-3.47886,-1.71302,-3.45405,-1.33647,73.3527,27.128,-0.575939,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
2.26667,68,-3.47886,-1.71302,-3.45405,-1.33647,69.597,26.0062,-0.929131,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
2.3,69,-3.47886,-1.71302,-3.45405,-1.33647,65.4583,24.7148,-1.67858,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
2.33333,70,-3.47886,-1.71302,-3.45405,-1.33647,61.0721,23.2752,-2.795,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
2.36667,71,-3.47886,-1.71302,-3.45405,-1.33647,56.5734,21.7086,-4.24907,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
2.4,72,-3.47886,-1.71302,-3.45405,-1.33647,52.0976,20.0366,-6.01149,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
2.43333,73,-3.47886,-1.71302,-3.45405,-1.33647,47.7798,18.2805,-8.05297,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
2.46667,74,-3.47886,-1.71302,-3.45405,-1.33647,43.7553,16.4616,-10.3442,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
2.5,75,-3.47886,-1.71302,-3.45405,-1.33647,40.1593,14.6014,-12.8559,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
2.53333,76,-3.47886,-1.71302,-3.45405,-1.33647,37.127,12.7213,-15.5587,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
2.56667,77,-3.47886,-1.71302,-3.45405,-1.33647,34.7936,10.8425,-18.4234,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
2.6,78,-3.47886,-1.71302,-3.45405,-1.33647,33.2945,8.98664,-21.4207,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
2.63333,79,-3.47886,-1.71302,-3.45405,-1.33647,32.7647,7.17493,-24.5211,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
2.66667,80,-3.47886,-1.71302,-3.45405,-1.33647,32.7647,5.42881,-27.6956,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
2.7,81,-3.47886,-1.71302,-3.45405,-1.33647,32.7647,3.76966,-30.9146,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
2.73333,82,-3.47886,-1.71302,-3.45405,-1.33647,32.7647,2.21886,-34.1491,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
2.76667,83,-3.47886,-1.71302,-3.45405,-1.33647,32.7647,0.77041,-37.4971,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
2.8,84,-3.47886,-1.71302,-3.45405,-1.33647,32.7647,-0.864746,-42.3594,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
2.83333,85,-3.47886,-1.71302,-3.45405,-1.33647,32.7647,-2.65368,-48.6043,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
2.86667,86,-3.47886,-1.71302,-3.45405,-1.33647,32.7647,-4.44865,-55.5613,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
2.9,87,-3.47886,-1.71302,-3.45405,-1.33647,32.7647,-6.10192,-62.5604,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
2.93333,88,-3.47886,-1.71302,-3.45405,-1.33647,32.7647,-7.46575,-68.9312,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
2.96667,89,-3.47886,-1.71302,-3.45405,-1.33647,32.7647,-8.39238,-74.0034,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
3.0,90,-3.47886,-1.71302,-3.45405,-1.33647,32.7647,-8.7341,-77.1067,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
3.03333,91,-3.47886,-1.71302,-3.45405,-1.33647,32.7647,-8.45422,-77.3502,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
